year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
2019,2019cur,2019cur_qf4m1,qf4m1,0,99,0,1,0.6428571428571429,0.75,0.7333333333333333,1.0,0.2916666666666667,0.0,0.20491803278688514,0.4047619047619047,0.9791666666666666,0.4666666666666666,1.0,0.4791666666666667,0.6785714285714285,0.6352459016393442
2019,2019mesh,2019mesh_qf4m3,qf4m3,89,84,1,0,0.15584415584415587,0.8757763975155278,0.3386243386243386,1.0,0.5595238095238094,0.9428571428571427,0.6490614062997137,0.14545454545454545,0.9565217391304347,0.3703703703703704,0.8000000000000002,0.6944444444444445,0.7111111111111111,0.8329621380846324
2018,2018txsa,2018txsa_sf2m2,sf2m2,234,210,1,0,0.8139226100151746,0.47122905027932954,1.0,0.672549019607843,0.46527777777777773,0.6923076923076922,0.7346433770014555,0.4525037936267072,0.7758659217877094,0.9430167597765363,0.7192156862745097,0.35555555555555557,0.9384615384615383,0.8220669577874816
2017,2017micmp3,2017micmp3_qm52,qm52,356,345,1,0,0.3333333333333333,0.0,1.0,0.8935574229691877,0.8666666666666666,0.39393939393939387,0.7105292417167002,0.025573192239858905,0.0,1.0,0.8407511152609192,0.854320987654321,0.3535353535353534,0.8489857435821412
2018,2018njbe,2018njbe_sf2m3,sf2m3,338,431,0,1,0.7116968698517298,0.9560301507537688,0.7144288577154306,0.902834008097166,0.36111111111111116,0.0,0.6546463245492369,0.6015533066603906,0.9443646805455851,0.7884340108789006,0.9508386350491614,0.1984126984126984,0.7880184331797234,0.5117891816920941
2018,2018isde2,2018isde2_qf4m1,qf4m1,168,375,0,1,0.004846526655896606,0.8726591760299626,0.11102299762093576,0.37142857142857144,0.19444444444444445,0.8695652173913042,0.08894878706199456,0.7192245557350564,0.9932584269662921,0.9186360031720858,0.9942857142857143,0.25555555555555554,0.5130434782608695,0.48463611859838257
2019,2019miliv,2019miliv_qf1m2,qf1m2,46,71,0,1,0.0,0.8125,0.3333333333333333,0.8000000000000002,0.25,0.6388888888888888,0.5438596491228067,0.5185185185185185,0.8541666666666666,0.5925925925925926,1.0,0.5694444444444444,0.8055555555555557,0.736842105263158
2017,2017hiho,2017hiho_qf1m2,qf1m2,230,279,0,1,0.0,0.0,1.0,0.812274368231047,0.20000000000000004,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.818181818181818,1.0
2017,2017mokc,2017mokc_f1m1,f1m1,277,288,0,1,0.013761467889908256,1.0,1.0,0.47893569844789347,0.875,0.7272727272727272,0.6861865709892361,0.06116207951070337,0.0,1.0,0.8514412416851441,0.722222222222222,0.606060606060606,0.7965146078933879
2019,2019milan,2019milan_f1m2,f1m2,72,81,0,1,0.09523809523809525,0.7857142857142857,0.5604395604395603,1.0,0.5833333333333334,1.0,0.7792207792207794,1.0,0.9583333333333334,0.923076923076923,0.9333333333333332,0.5138888888888888,0.6578947368421053,1.0
2019,2019njfla,2019njfla_qf2m1,qf2m1,59,60,0,1,0.7777777777777777,0.9130434782608695,0.7682926829268292,0.6,0.2916666666666667,1.0,0.3417721518987344,0.972222222222222,0.717391304347826,0.8536585365853661,0.75,0.3541666666666667,0.8333333333333334,0.7215189873417719
2018,2018paphi,2018paphi_sf1m3,sf1m3,398,238,1,0,0.6324191567744576,0.8016194331983805,0.924300441826215,0.7045895281189397,0.2222222222222222,1.0,0.8700516351118758,0.5467048710601718,0.9263157894736841,0.7410309278350514,0.7104072398190043,0.6111111111111112,0.4027397260273973,0.5060240963855421
2018,2018bcvi,2018bcvi_qf4m3,qf4m3,198,322,0,1,0.4501424501424501,1.0,0.0688298918387414,0.4778761061946903,0.20370370370370372,0.9599999999999999,0.6918238993710694,0.452991452991453,0.667866323907455,0.8684365781710914,0.3451327433628319,0.37777777777777777,0.496,0.7060796645702306
2019,2019nhgrs,2019nhgrs_sf2m3,sf2m3,51,58,0,1,1.0,0.6857142857142856,1.0,0.8400000000000002,0.13999999999999999,1.0,0.6186046511627904,0.35714285714285715,0.8367346938775512,0.5791505791505791,1.0,0.4285714285714286,0.6785714285714285,0.8006644518272426
